title,url,inlinks,word_count,recommended_action,canonical_target,flags,final_action,priority,note
"Arthur Hayes Predicts Ethereum Price Will Reach $20,000 - DeFiliban",https://defiliban.io/arthur-hayes-ethereum-price-prediction-2/,59,674,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Bank of Japan Raises Interest Rate to 0.75% - DeFiliban,https://defiliban.io/bank-of-japan-interest-rate-hike-3/,53,471,301_to_canonical_or_noindex_then_merge,https://defiliban.io/bank-of-japan-interest-rate-hike-2/,numeric_suffix;thin-ish,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/bank-of-japan-interest-rate-hike-2/
BitMine Acquires $200 Million in Ethereum Holdings - DeFiliban,https://defiliban.io/bitmine-ethereum-acquisition-strategy-2/,51,642,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"BitMine Acquires 179,000 Ethereum Tokens in Strategic Shift - DeFiliban",https://defiliban.io/bitmine-acquires-ethereum-tokens-2/,55,770,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"BitMine Acquires 32,977 Ethereum Tokens in Strategic Move - DeFiliban",https://defiliban.io/bitmine-acquires-ethereum-tokens-3/,55,800,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Bitcoin Exchange Reserves Hit Historic Low in 2025 - DeFiliban,https://defiliban.io/bitcoin-exchange-reserves-historic-low-2/,49,744,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"Bitcoin Reaches New All-Time High of $125,000 - DeFiliban",https://defiliban.io/bitcoin-new-all-time-high-2/,56,681,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"Bitcoin Surges Past $115,000 After Options Expiry - DeFiliban",https://defiliban.io/bitcoin-surges-options-expiry-2/,53,573,301_to_canonical_or_noindex_then_merge,https://defiliban.io/bitcoin-surges-options-expiry/,numeric_suffix;thin-ish,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/bitcoin-surges-options-expiry/
Bitdeer Increases Bitcoin Holdings by 56.4 BTC - DeFiliban,https://defiliban.io/bitdeer-increases-bitcoin-holdings-2/,53,635,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"Bitmine Acquires 35,268 Ethereum to Boost Holdings - DeFiliban",https://defiliban.io/bitmine-acquires-ethereum-holdings-2/,53,895,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
BlackRock Bitcoin Trust Sees Record $430.8 Million Outflow - DeFiliban,https://defiliban.io/blackrock-bitcoin-trust-outflow-2/,46,778,301_to_canonical_or_noindex_then_merge,https://defiliban.io/blackrock-bitcoin-trust-outflow/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/blackrock-bitcoin-trust-outflow/
BlackRock Launches Bitcoin ETP on London Stock Exchange - DeFiliban,https://defiliban.io/blackrock-bitcoin-etp-launch/,55,771,301_to_canonical_or_noindex_then_merge,https://defiliban.io/blackrock-bitcoin-etp-london/,,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/blackrock-bitcoin-etp-london/
BlockDAG’s $430M+ Presale & Upcoming Binance AMA Spark Buying Frenzy While XLM Climbs Toward $0.46 & DOT Stabilizes at $4,https://defiliban.io/blockdags-430m-presale-upcoming-binance-ama-spark-buying-frenzy-while-xlm-climbs-toward-0-46-dot-stabilizes-at-4/,49,1059,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Brevan Howard Boosts Investment in BlackRock's Bitcoin ETF - DeFiliban,https://defiliban.io/brevan-howard-blackrock-bitcoin-etf-2/,59,712,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"Bybit Delists IZI, TIME, MONPRO, and UXLINK From Spot Trading",https://defiliban.io/bybit-delists-izi-time-monpro-uxlink-spot-trading-2/,52,723,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
"CLARITY Act Passes, Defining Crypto Regulations in the US - DeFiliban",https://defiliban.io/clarity-act-crypto-regulations-2/,52,834,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
CME Group Launches Options for Solana and XRP Futures - DeFiliban,https://defiliban.io/cme-group-solana-xrp-options-2/,47,771,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Cardano to Release ADA Holdings Audit in August 2025 - DeFiliban,https://defiliban.io/cardano-ada-holdings-audit-2/,55,739,301_to_canonical_or_noindex_then_merge,https://defiliban.io/cardano-ada-holdings-audit/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/cardano-ada-holdings-audit/
China Explores Stablecoins for Cross-Border Payments - DeFiliban,https://defiliban.io/china-stablecoins-cross-border-payments-2/,57,796,301_to_canonical_or_noindex_then_merge,https://defiliban.io/china-stablecoins-cross-border-payments/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/china-stablecoins-cross-border-payments/
China Implements New Silver Export Restrictions Effective January 2026 - DeFiliban,https://defiliban.io/china-silver-export-restrictions-2/,54,684,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
China Poly Group Denies Involvement in Stablecoin Projects - DeFiliban,https://defiliban.io/china-poly-group-stablecoin-denial-2/,48,744,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Coin Home 2 - DeFiliban,https://defiliban.io/coin-home-2/,3206,677,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Coin Home 4 - DeFiliban,https://defiliban.io/coin-home-4/,3220,397,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Coinbase - DeFiliban,https://defiliban.io/t/coinbase/,52,327,301_to_canonical_or_noindex_then_merge,https://defiliban.io/news/coinbase/,thin-ish,301_to_canonical,high,Redirect this tag-like archive to /news/coinbase/.
Coinbase - DeFiliban,https://defiliban.io/t/coinbase/page/2/,27,218,301_to_canonical_or_noindex_then_merge,https://defiliban.io/news/coinbase/,thin-ish,noindex_subpage,low,"Pagination subpage; noindex is enough, no redirect needed."
Coinbase Adds WRON to Listing Roadmap: What It Means,https://defiliban.io/coinbase-adds-wron-to-its-listing-roadmap-2/,54,664,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Coinbase CEO Addresses CLARITY Act Support and Progress - DeFiliban,https://defiliban.io/coinbase-ceo-clarity-act-support-2/,50,834,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Company Announces Major Policy Change Affecting Employees - DeFiliban,https://defiliban.io/company-policy-change-employees-2/,49,337,301_to_canonical_or_noindex_then_merge,https://defiliban.io/company-policy-change-employees/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
Deutsche Bank Warns of Revenge Tax Consequences - DeFiliban,https://defiliban.io/deutsche-bank-revenge-tax-consequences/,54,763,301_to_canonical_or_noindex_then_merge,https://defiliban.io/deutsche-bank-revenge-tax-impact/,,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/deutsche-bank-revenge-tax-impact/
Federal Reserve Rate Cut Odds Rise Before March Meeting - DeFiliban,https://defiliban.io/federal-reserve-rate-cut-odds-2/,49,767,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
GameSquare Acquires CryptoPunk #5577 for $5.15 Million - DeFiliban,https://defiliban.io/gamesquare-acquires-cryptopunk-5577-2/,59,891,301_to_canonical_or_noindex_then_merge,https://defiliban.io/gamesquare-acquires-cryptopunk-5577/,numeric_suffix,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/gamesquare-acquires-cryptopunk-5577/
Government Approves New Renewable Energy Policy - DeFiliban,https://defiliban.io/government-renewable-energy-policy-2/,51,425,301_to_canonical_or_noindex_then_merge,https://defiliban.io/government-renewable-energy-policy/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
Grant Cardone Predicts Bitcoin Could Reach $1 Million - DeFiliban,https://defiliban.io/grant-cardone-bitcoin-prediction-2/,57,774,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Grayscale Files for Dogecoin ETF with SEC Approval - DeFiliban,https://defiliban.io/grayscale-dogecoin-etf-filing-2/,47,724,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Hyperliquid Reports $242 Billion Trading Volume Surge - DeFiliban,https://defiliban.io/hyperliquid-trading-volume-may-2025-2/,46,701,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
James Wynn Critiques Hyperliquid's Referral Program - DeFiliban,https://defiliban.io/james-wynn-hyperliquid-referral-critique-2/,57,836,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Meta Shareholders Reject Bitcoin Reserve Proposal - DeFiliban,https://defiliban.io/meta-shareholders-reject-bitcoin-2/,61,632,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
Meta Shareholders Reject Bitcoin Treasury Proposal - DeFiliban,https://defiliban.io/meta-shareholders-reject-bitcoin-3/,57,670,301_to_canonical_or_noindex_then_merge,https://defiliban.io/meta-shareholders-reject-bitcoin/,numeric_suffix;thin-ish,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/meta-shareholders-reject-bitcoin/
Meta Shareholders Reject Bitcoin Treasury Proposal - DeFiliban,https://defiliban.io/meta-shareholders-reject-bitcoin-proposal/,56,757,301_to_canonical_or_noindex_then_merge,https://defiliban.io/meta-shareholders-reject-bitcoin/,,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/meta-shareholders-reject-bitcoin/
MicroStrategy Continues Bitcoin Acquisition Strategy Under Saylor - DeFiliban,https://defiliban.io/microstrategy-bitcoin-acquisition-strategy-2/,57,645,301_to_canonical_or_noindex_then_merge,https://defiliban.io/microstrategy-bitcoin-acquisition-strategy/,numeric_suffix;thin-ish,301_to_canonical,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/microstrategy-bitcoin-acquisition-strategy/
Midas Launches Tokenized U.S. Treasury Bill on Algorand - DeFiliban,https://defiliban.io/midas-tokenized-us-treasury-bill-2/,50,872,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
New Policy Changes Affecting Local Businesses Announced - DeFiliban,https://defiliban.io/local-business-policy-changes-4/,49,315,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
New Policy Changes Affecting Local Businesses Announced Today - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-3/,51,307,manual_review_numeric_suffix,,numeric_suffix,manual_review_numeric_suffix,medium,Numeric suffix URL. Review if it is a real distinct article or duplicate before redirecting.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/local-business-policy-changes-2/,52,312,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/local-business-policy-changes-3/,52,303,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-impact-businesses-2/,50,364,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-impact-businesses-3/,49,387,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-impact-businesses-4/,52,347,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-10/,50,318,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-11/,52,300,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-12/,48,325,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-4/,54,305,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-5/,50,317,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-6/,51,326,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-7/,49,321,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/new-policy-changes-local-businesses-8/,50,300,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-10/,52,306,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-2/,51,299,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-3/,48,313,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-4/,49,299,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-5/,51,310,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-6/,51,315,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-7/,51,325,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-8/,52,324,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
New Policy Changes Impact Local Businesses Significantly - DeFiliban,https://defiliban.io/policy-changes-impact-local-businesses-9/,57,315,301_to_canonical_or_noindex_then_merge,https://defiliban.io/new-policy-changes-impact-businesses/,numeric_suffix;thin-ish,delete_404,high,Low-value generic duplicate. Delete and let it 404; do not redirect into another low-value generic page.
